id,price,city,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds
12147973,250.0,boston,roslindale,house,entire home/apt,4,1,2,3
3075044,65.0,boston,roslindale,apartment,private room,2,1,1,1
6976,65.0,boston,roslindale,apartment,private room,2,1,1,1
1436513,75.0,boston,,house,private room,4,1,1,2
7651065,79.0,boston,roslindale,house,private room,2,1,1,2
12386020,75.0,boston,roslindale,condominium,private room,2,1,1,1
5706985,100.0,boston,,apartment,entire home/apt,3,1,1,2
2843445,75.0,boston,roslindale,house,private room,2,2,1,1
753446,58.0,roslindale,roslindale,condominium,private room,2,1,1,2
849408,229.0,boston,roslindale,apartment,entire home/apt,5,1,2,2
12023024,60.0,boston,roslindale,house,private room,2,1,1,1
1668313,57.0,boston,roslindale,house,private room,1,1,1,1
2684840,93.0,boston,roslindale,condominium,entire home/apt,4,1,2,2
13547301,150.0,boston,roslindale,apartment,entire home/apt,5,1,2,3
5434353,145.0,boston,roslindale,house,entire home/apt,2,1,2,2
225979,60.0,boston,roslindale,apartment,private room,1,0,1,1
3420384,165.0,boston,roslindale,house,private room,4,1,1,3
13512930,75.0,boston,roslindale,condominium,private room,2,1,1,1
7482195,49.0,boston,roslindale,house,private room,1,1,1,1
7252607,49.0,boston,,house,private room,2,1,1,1
2583074,40.0,boston,roslindale,villa,private room,1,2,1,1
13251243,120.0,roslindale,roslindale,house,entire home/apt,3,1,0,2
225834,70.0,boston,roslindale,apartment,private room,2,0,1,1
6400432,150.0,boston,,house,entire home/apt,8,1,3,5
5498472,175.0,boston,roslindale,house,entire home/apt,5,3,4,3
894539,95.0,roslindale,roslindale,house,private room,2,1,1,1
879929,90.0,roslindale,roslindale,apartment,private room,2,1,1,1
9218312,95.0,boston,roslindale,house,private room,2,1,1,1
321328,100.0,boston,roslindale,apartment,private room,2,1,1,2
1810172,67.0,boston,roslindale,house,private room,2,1,1,1
6513924,55.0,boston,roslindale,condominium,private room,1,1,1,1
7093109,200.0,boston,roslindale,apartment,entire home/apt,6,1,2,2
14690527,150.0,boston,roslindale,apartment,entire home/apt,4,1,1,2
7086825,49.0,boston,roslindale,house,private room,1,1,1,1
1861070,75.0,boston,roslindale,house,private room,1,1,1,1
4283698,110.0,boston,roslindale,house,entire home/apt,4,1,1,2
10116095,115.0,boston,,apartment,private room,2,1,1,1
8548176,125.0,boston,roslindale,house,entire home/apt,16,1,3,5
4922204,200.0,"roslindale, boston",roslindale,house,entire home/apt,16,2,3,7
4085362,75.0,boston,roslindale,house,private room,2,2,1,1
3755609,78.0,boston,roslindale,house,private room,1,1,1,1
13768853,50.0,boston,roslindale,apartment,private room,4,1,1,2
1936861,60.0,boston,roslindale,apartment,private room,1,1,1,1
4461111,45.0,boston,roslindale,house,private room,1,1,1,1
1724900,145.0,boston,roslindale,house,entire home/apt,4,1,2,2
13937181,45.0,boston,roslindale,house,private room,2,2,1,1
3968797,85.0,boston,roslindale,house,private room,2,1,1,1
1494726,75.0,roslindale,roslindale,house,private room,1,1,1,1
8473851,50.0,boston,roslindale,house,private room,2,2,1,1
3575220,45.0,boston,roslindale,house,private room,1,2,1,1
1591827,60.0,roslindale,roslindale,house,private room,2,1,1,1
3229255,95.0,boston,roslindale,apartment,entire home/apt,3,1,1,1
1721016,89.0,boston,roslindale,apartment,entire home/apt,2,1,0,1
12535687,110.0,boston,roslindale,apartment,entire home/apt,3,1,0,2
12994227,65.0,boston,,condominium,private room,2,1,1,1
12927298,285.0,boston,roslindale,house,entire home/apt,7,2,3,3
169938,140.0,boston,jamaica plain,apartment,entire home/apt,4,1,1,1
594693,70.0,boston,jamaica plain,apartment,private room,2,1,1,1
2384581,95.0,boston,jamaica plain,house,private room,2,1,1,1
735970,55.0,boston,jamaica plain,bed & breakfast,private room,2,1,1,1
4262255,80.0,boston,jamaica plain,apartment,private room,2,1,1,1
4000384,120.0,boston,jamaica plain,house,private room,2,1,1,1
6693305,65.0,boston,jamaica plain,apartment,private room,2,1,1,1
6730758,100.0,boston,jamaica plain,apartment,private room,4,1,1,2
6248970,65.0,boston,,apartment,private room,1,1,1,1
12806707,60.0,boston,jamaica plain,house,private room,1,1,1,1
14246616,63.0,boston,jamaica plain,apartment,private room,2,1,1,1
3703674,75.0,boston,jamaica plain,townhouse,private room,2,1,1,1
4792901,65.0,boston,jamaica plain,house,private room,2,1,1,1
5717528,110.0,boston,jamaica plain,apartment,private room,1,1,1,1
5601743,46.0,boston,jamaica plain,house,private room,2,1,1,1
13333862,75.0,boston,jamaica plain,apartment,private room,3,1,1,1
519272,62.0,boston,jamaica plain,apartment,private room,2,1,1,1
14090779,69.0,boston,jamaica plain,condominium,private room,2,1,1,1
8481291,69.0,boston,jamaica plain,apartment,private room,2,1,1,1
6990904,73.0,boston,jamaica plain,house,private room,2,2,1,1
197727,85.0,boston,jamaica plain,apartment,private room,1,1,1,1
932853,120.0,jamaica plain,jamaica plain,apartment,private room,2,2,1,1
11159585,125.0,boston,jamaica plain,house,private room,2,3,1,2
9677354,70.0,boston,jamaica plain,apartment,private room,1,1,1,1
13426831,100.0,boston,jamaica plain,condominium,private room,2,1,1,1
7956634,61.0,boston,jamaica plain,condominium,private room,2,1,1,1
568234,125.0,boston,jamaica plain,house,private room,4,1,1,2
1030500,100.0,jamaica plain,jamaica plain,apartment,private room,2,1,1,1
13652374,27.0,boston,jamaica plain,apartment,private room,1,1,1,1
12930651,80.0,boston,jamaica plain,apartment,private room,2,1,1,1
3997572,85.0,boston,jamaica plain,house,private room,2,1,1,1
4223387,75.0,boston,jamaica plain,house,private room,3,1,1,2
12855396,57.0,boston,,house,private room,1,1,1,1
12426823,100.0,boston,jamaica plain,apartment,private room,2,1,1,1
14361322,40.0,boston,jamaica plain,apartment,private room,1,1,1,1
2963419,100.0,boston,jamaica plain,house,private room,1,1,1,1
5904732,70.0,boston,jamaica plain,house,private room,2,2,1,1
3591359,190.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
2538536,149.0,brookline,,apartment,entire home/apt,3,1,1,1
4975581,168.0,boston,jamaica plain,apartment,entire home/apt,6,1,2,2
4767023,205.0,boston,jamaica plain,house,entire home/apt,5,2,3,4
6364042,65.0,boston,jamaica plain,house,private room,2,2,1,1
7986179,75.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
14109003,117.0,boston,jamaica plain,condominium,entire home/apt,4,1,2,4
1109224,429.0,boston,jamaica plain,apartment,entire home/apt,8,2,4,6
1067184,95.0,boston,jamaica plain,apartment,private room,2,1,1,1
13215952,69.0,boston,jamaica plain,apartment,private room,2,1,1,1
777903,85.0,boston,jamaica plain,house,private room,2,0,1,1
1301500,69.0,boston,jamaica plain,apartment,private room,2,1,1,1
8923817,165.0,boston,jamaica plain,house,entire home/apt,2,1,1,1
14057466,150.0,"jamaica plain, boston",jamaica plain,apartment,entire home/apt,4,1,2,2
14909417,267.0,boston,jamaica plain,condominium,entire home/apt,7,1,4,4
5521378,87.0,boston,jamaica plain,apartment,private room,2,1,1,1
13041602,62.0,boston,jamaica plain,townhouse,private room,2,1,1,1
2621242,110.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
950046,250.0,jamaica plain,jamaica plain,apartment,entire home/apt,6,2,3,3
3342094,150.0,jamaica plain (boston),jamaica plain,apartment,entire home/apt,6,1,2,2
5652147,300.0,boston,jamaica plain,house,entire home/apt,7,2,3,4
14105971,119.0,boston,jamaica plain,apartment,entire home/apt,2,1,0,1
2875267,175.0,boston,jamaica plain,apartment,entire home/apt,2,1,0,1
9485607,195.0,boston,jamaica plain,house,entire home/apt,6,2,2,2
7273770,145.0,boston,jamaica plain,condominium,entire home/apt,4,1,2,2
5405928,200.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
4586681,90.0,boston,jamaica plain,house,private room,1,1,1,1
1113272,210.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
12647606,75.0,jamaica plain,jamaica plain,apartment,private room,2,1,1,1
10271867,46.0,boston,jamaica plain,apartment,private room,2,1,1,1
7879708,75.0,boston,jamaica plain,condominium,private room,2,1,1,1
3881993,500.0,boston,jamaica plain,apartment,entire home/apt,6,1,3,3
12566065,60.0,boston,jamaica plain,apartment,private room,2,1,1,1
6602217,130.0,boston,jamaica plain,apartment,entire home/apt,5,1,1,2
3276286,190.0,boston,jamaica plain,apartment,entire home/apt,6,1,2,3
2014651,100.0,boston,jamaica plain,apartment,private room,2,1,1,1
6053700,450.0,jamaica plain,jamaica plain,house,entire home/apt,6,3,3,6
4405982,399.0,boston,jamaica plain,apartment,entire home/apt,8,2,4,4
250983,350.0,boston,jamaica plain,apartment,entire home/apt,5,1,2,2
2308630,200.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
8272350,99.0,boston,jamaica plain,apartment,private room,2,1,1,1
12368012,295.0,boston,jamaica plain,house,entire home/apt,6,2,3,4
4098410,107.0,boston,jamaica plain,apartment,private room,2,1,1,1
6322283,69.0,boston,jamaica plain,apartment,private room,1,1,1,1
7823025,76.0,boston,jamaica plain,apartment,private room,2,1,1,1
